question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,judge_reasoning
78,A,Which hoses are DNV classified?,0,0,1,1,hallucination,4.466,735,Incorrect answer contains fabricated claims (DELTAFLEx 4 CT and KAPPAFLEX 2K CO ROCK not mentioned in ground truth)
79,A,Which hoses are FDA approved for food use?,0,0,0,1,hallucination,4.321,365,"Answer does not mention FDA approval, despite product details being provided"
23,B,What sizes does Storz have?,0,0,0,1,hallucination,4.405,349,"Answer claims no information about Storz exists, despite the ground truth providing specific details"
24,B,Steam connections?,0,0,0,1,hallucination,4.393,367,"Answer does not mention steam connections, despite the question being asked"
25,B,Camlock seal?,0,0,1,0,none,4.465,375,"The AI answer does not convey the same core facts as the ground truth, but it correctly states units and acknowledges limitations."
28,B,Which coupling should I use if I want acid-proof?,0,0,0,1,hallucination,4.467,305,"Answer does not provide any information about acid-proof couplings, instead stating the context is insufficient"
29,B,"Which couplings have an o-ring? I need 1/2""",0,0,0,0,unknown,4.561,369,Judge response not parseable
30,B,What material are pipe clamps made of?,0,0,0,1,hallucination,4.749,366,"The AI answer contains a fabricated claim about the material composition of pipe clamps, which is not supported by the ground truth."
32,B,"Is there an adapter from JiC to BSP for 1""?",0,0,1,0,none,4.769,374,"The AI answer is correct in terms of unit fidelity, but it's missing the core fact that there is an adapter from JiC to BSP for a specific size."
35,B,What is the difference between 6L and 6S clutches?,0,0,0,1,hallucination,4.444,370,"Answer contains a fabricated claim about '6L' and '6S' clutches, which are not mentioned in the provided context."
36,B,"Is Camlock available in plastic? If so, which plastic?",0,0,0,1,hallucination,4.339,372,"Answer claims Camlock is not available in plastic, which contradicts the ground truth."
40,B,What sizes are available for Code 62 flanges?,0,0,1,0,none,4.624,370,"Answer conveys core facts, but lacks specific sizes and acknowledges limitations"
41,B,"I have a welding flange 5543-02-08, which mating flange should I choose?",0,0,1,0,none,4.567,398,"Answer conveys the same core facts as ground truth, but lacks specificity and context"
42,B,Which metric screw should I choose for 5541-00-64?,0,0,0,1,hallucination,4.334,379,Answer acknowledges lack of information about product code 5541-00-64
43,B,Which UNC screw should I choose for 5540-02-24?,0,0,0,1,hallucination,4.371,352,"Answer claims no information about the product code, but provides an unrelated reference"
50,B,"have the hose 14560016, which clamp jaw fits it?",0,0,1,0,none,4.728,399,"The AI answer does not provide a correct solution, but correctly states that it couldn't find information about the specific product code."
54,B,Which ISO B couplings are available to order from Faster?,0,0,1,0,none,4.921,414,"The AI answer is correct in terms of numerical values, but it lacks specificity and fails to provide a comprehensive list of available ISO B couplings."
55,B,"Which dust cover should I choose for ISO 16028 1/2"" female?",0,0,0,1,hallucination,4.948,392,"Incorrectly states the correct dust cover part number as 5552-45-08, which is not mentioned in the ground truth"
56,B,"Which gasket kit does Hydroscand have for a 3/4"" Faster VV coupling?",0,0,0,1,hallucination,4.89,370,The AI answer contains a fabricated claim that the product code '5558-24-12' does not exist for a 'Faster VV coupling'
57,B,Are there smooth pipe clamps in the heavy series? ISO 3015-2?,0,0,1,0,none,4.61,387,"Answer does not provide the correct information, but correctly states that no specific product code or article number is provided in the given context."
58,B,Are there pipe clamps with a bolt for 10mm pipes?,1,0,0,0,none,4.93,396,"The AI answer conveys the same core facts as the ground truth, but lacks specific product codes and references."
59,B,Which weld and cover plate should I choose for 5390-62-12?,0,0,1,0,none,4.672,325,Answer is incorrect because it fails to provide specific product codes and acknowledges lack of information
60,B,Is there a corresponding 7013-04-09 with ED sealed G threaded connection?,0,0,1,0,none,4.351,382,"Answer conveys the same core facts as ground truth, but lacks specificity and context"
61,B,An 8mm tube with 7793-00-08 and 7792-00-06 what is the tightening torque?,0,0,1,0,none,4.852,417,"Answer conveys the same core facts as ground truth, but lacks specificity and context"
62,B,Which O-ring should I choose for an ORFS connection to 14mm pipe?,0,0,0,1,hallucination,4.694,384,"The AI answer contains an unsupported claim about the correct O-ring size for a 14mm pipe, which is not supported by the ground truth."
68,B,Where can I find assembly instructions for Hydroscand cutting ring couplings?,0,0,0,1,hallucination,4.49,361,"The AI answer contains a fabricated claim about not finding assembly instructions, which is not supported by the ground truth."
69,B,"How tight should I tighten a G 1/2"" thread?",0,0,0,1,hallucination,4.222,344,"Incorrectly stated that the answer cannot be determined, when in fact it can be determined based on general guidelines"
75,B,Tightening torque on JIC coupling?,0,0,1,0,none,4.348,361,"Answer conveys general information about tightening torque, but lacks specific details and references"
6,C,Which sleeve should I get for hose X?,0,1,1,0,none,4.473,393,"The AI answer conveys the same core facts as the ground truth, but lacks specificity and context."
9,C,Which coupling fits my existing hose with dimension Y?,0,0,0,1,hallucination,4.859,401,The AI answer contains an unsupported claim that the ground truth does not provide.
12,C,What type of seal can withstand oil and high temperatures?,0,0,1,1,hallucination,5.004,919,"The AI answer contains a fabricated claim about the product 'slät P.T.F.E. SLANG' being specifically designed for applications with oil and high temperatures, which is not supported by the ground truth."
16,C,What is the recommended tightening torque for this coupling?,0,0,0,1,hallucination,4.561,325,"Answer provides no specific information about the coupling, instead stating that sources do not mention tightening torque."
26,C,Which sleeve should I use to crimp a multi-head hose?,0,0,0,1,hallucination,4.656,381,The AI answer contains a factual claim (product 'multi-head' does not exist) that is not supported by the ground truth.
27,C,Which hoses are suitable for the 42 series?,0,0,1,1,hallucination,5.173,442,"Incorrectly stated that IsoBar is suitable for the 42 series, when in fact it's not mentioned as a compatible product"
51,C,What classes of acid-resistant pipes for hydraulics are there?,0,0,0,1,hallucination,4.491,718,"The AI answer contains a fabricated claim about the absence of acid-resistant pipes for hydraulics, which is not supported by the ground truth."
65,C,What is the working pressure of a 4201-16-16?,0,0,0,1,hallucination,4.756,391,"Answer claims no information is available for the product code, but actually provides a range of working pressures"
66,C,What is the working pressure for 4253-24-24?,0,0,0,1,hallucination,4.789,381,"Answer claims to not have information about the product, but actually provides a correct working pressure value"
67,C,What is the working pressure for 4743-20-20?,0,0,1,0,none,4.471,395,"Answer is correct but lacks context, fails to provide working pressure"
73,C,What is the difference between the 42 series and the 47 series?,0,0,0,1,hallucination,4.658,346,The AI answer contains a factual claim (no information about the '47 series') not supported by the ground truth.
8,D,What is the difference between product A and B?,0,0,0,1,hallucination,4.571,303,"AI answer contains unsupported claim that no information is provided about products A and B, despite context mentioning specific product codes and dimensions."
10,D,What is a replacement product for discontinued item number Z?,0,0,1,0,none,4.824,337,Answer conveys the correct lack of information about item number Z
13,D,What components are needed to build a complete hydraulic system?,0,0,0,1,hallucination,5.255,855,The AI answer contains unsupported claims about the HYDROSCAND product family and fails to acknowledge the limitations of the provided context.
14,D,Can I use this product in an ATEX environment?,0,0,0,1,hallucination,4.631,429,Answer is incorrect and contains a fabricated claim
15,D,Is this product compatible with glycol/water mixture?,0,0,0,1,hallucination,4.554,403,"Answer provides no basis for determining compatibility, instead stating the context lacks relevant information"
18,D,What is the lifespan or maintenance intervals of product X?,0,0,0,1,hallucination,4.647,382,"Answer provides no information about product X, instead of acknowledging the need for a specific product identifier"
37,D,"How many millimeters is 1/8""?",0,0,1,1,hallucination,4.752,451,"Incorrect conversion from inches to millimeters, with a fabricated value of 6.35 mm instead of the correct 3.18 mm"
38,D,Thread that is 12.4 mm internally?,0,0,1,0,none,5.232,406,"The AI answer conveys the core facts of the ground truth, but lacks specific references and fails to acknowledge the existence of a thread with an internal diameter of 12.4 mm."
39,D,Thread that is 35.7 mm outside?,0,0,1,0,none,4.508,403,Answer conveys core facts but lacks specificity and context
52,D,Which bravo connection plate should I get for my pump with part number 25-211200-24?,0,0,1,0,none,4.451,371,"Answer is incorrect because it fails to provide a specific product code reference, despite acknowledging the lack of information."
53,D,What maximum working pressure is 427012062 rated for?,0,0,0,1,hallucination,4.358,387,The AI answer contains a fabricated claim about the product code not containing information about its maximum working pressure.
