question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,products_found,families_found,judge_reasoning
45,A,Hose for alkaline degreasing?,0,0,0,0,hallucination,0.194,123,0,0,"Answer claims no matching records were found, which is not supported by the ground truth answer"
46,A,What is the ISO standard for textile hose protection?,0,0,0,0,hallucination,0.383,1073,5,7,"Answer claims no information was found, but ground truth provides specific details about ISO 6945 and SAE J343 standards."
47,A,"The flow is 150 liters per minute, what hose dimension should I choose for pressure?",0,0,0,0,hallucination,0.321,715,1,4,Lacks specific hose dimension recommendations and fails to consider pressure drop and wear
48,A,"The flow is 20 liters per minute, what hose dimension should I choose for suction/return?",0,0,0,0,hallucination,0.739,814,1,4,"Answer acknowledges limitations and lack of specific data, but incorrectly states 'I couldn't find any information' instead of suggesting alternative solutions or referencing the product documentation"
49,A,"The flow is 100 liters per minute and I can have a maximum pressure drop of 200 millibars, what hose dimension?",0,0,0,0,hallucination,0.836,846,1,4,"Answer fails to provide any calculation or formula to determine hose dimension, instead suggests consulting external resources"
63,A,What is the maximum temperature for hose 1071-00-16?,0,0,0,0,hallucination,0.289,184,1,0,"Answer claims no information exists, but ground truth confirms specific temperature value."
64,A,Which socket fits 1118-12-16?,0,0,0,0,hallucination,0.279,175,1,0,"Answer claims no information exists, but ground truth provides specific product codes and references"
70,A,What is ISO bar?,0,0,0,1,hallucination,2.002,1278,5,5,"The AI answer contains a fabricated claim about the product 'ISOBAR 350 X-HP' and 'ISOBAR CO ROCK', which is not supported by the ground truth."
71,A,What standards are there for hydraulic hose?,0,0,0,0,hallucination,0.131,114,0,0,"Answer claims no matching records were found, which is not supported by the ground truth answer"
72,A,Can I use environmental oil in 1105-63?,0,0,0,0,hallucination,1.194,878,12,1,"The AI answer does not provide any information on the compatibility of environmental oil with the product 1105-63, which is a factual claim not supported by the ground truth."
74,A,Which hose should I use if I have 380bar in the machine?,0,0,0,0,hallucination,0.268,155,0,0,"Answer is incorrect because it claims the AI model can't provide an answer, when in fact the ground truth provides specific recommendations."
76,A,Is there a hose with a smooth outer casing?,1,1,1,0,none,1.398,782,0,4,"The AI answer conveys the same core facts as the ground truth, including specific product codes and constructions."
77,A,How do I install a shell sleeve?,0,0,0,0,hallucination,0.71,916,0,5,"Answer does not provide any information on installing a shell sleeve, instead claims lack of data"
78,A,Which hoses are DNV classified?,0,0,0,0,hallucination,0.768,578,0,3,"Kappaflex 3CO+ is not mentioned in the ground truth, and Kappaflex 2K CO is not DNV-certified for all applications"
79,A,Which hoses are FDA approved for food use?,0,0,0,0,hallucination,0.296,142,0,0,"Answer claims no relevant information exists, which is not supported by the ground truth."
23,B,What sizes does Storz have?,0,0,0,0,hallucination,0.199,109,0,0,"Answer claims no matching records found, which is not supported by the ground truth answer"
24,B,Steam connections?,0,0,0,0,hallucination,0.273,142,0,0,Answer completely ignores the existence of steam connections for Hydroscand products
25,B,Camlock seal?,0,0,0,0,hallucination,0.208,117,0,0,"Answer claims no specific information was found, which is incorrect as the ground truth provides details about Hydroscand's Camlock seals."
28,B,Which coupling should I use if I want acid-proof?,0,0,0,0,hallucination,0.322,158,0,0,Answer is completely off-topic and does not reference any specific product or information
29,B,"Which couplings have an o-ring? I need 1/2""",0,0,0,0,hallucination,0.997,1102,10,4,"The AI answer contains a fabricated claim about the product 3C147481200 having an o-ring with a diameter of 10 mm, which is not supported by the ground truth."
30,B,What material are pipe clamps made of?,0,0,0,0,hallucination,0.507,713,0,4,"Answer is entirely fabricated, as the data does not provide information on pipe clamp materials"
32,B,"Is there an adapter from JiC to BSP for 1""?",0,0,0,0,hallucination,0.683,1053,20,8,Incorrect unit (JIC instead of JIC) and missing specific reference
35,B,What is the difference between 6L and 6S clutches?,0,0,0,0,hallucination,0.311,148,0,0,"Answer claims no information exists, but ground truth provides specific details about 6L and 6S couplings."
36,B,"Is Camlock available in plastic? If so, which plastic?",0,0,0,0,hallucination,0.269,143,0,0,"Answer claims Camlock is not available in plastic, despite the ground truth stating it is, with no specific reference to support this claim."
40,B,What sizes are available for Code 62 flanges?,0,0,0,0,hallucination,0.402,292,6,0,"Answer provides no sizes for Code 62 flanges, instead references a different product (Fläns) on page 181, which is not relevant to the question"
41,B,"I have a welding flange 5543-02-08, which mating flange should I choose?",0,0,0,0,hallucination,0.373,164,0,0,"The AI answer claims it cannot provide an accurate answer, but the ground truth provides a clear solution."
42,B,Which metric screw should I choose for 5541-00-64?,0,0,0,0,hallucination,0.334,159,0,0,"Answer acknowledges lack of information, but does not provide any alternative or supported claim"
43,B,Which UNC screw should I choose for 5540-02-24?,0,0,0,0,hallucination,0.334,156,0,0,"Answer claims to not have specific information, but the ground truth provides a clear answer"
50,B,"have the hose 14560016, which clamp jaw fits it?",0,0,0,0,hallucination,0.292,152,0,0,"Answer claims to lack information, but the ground truth provides a clear explanation and specific product code reference."
54,B,Which ISO B couplings are available to order from Faster?,0,0,0,1,hallucination,1.626,1160,5,5,"The AI answer contains fabricated product codes (e.g., ISOBAR 10, ISOBAR 21 TL R17) not supported by the ground truth."
55,B,"Which dust cover should I choose for ISO 16028 1/2"" female?",0,0,0,0,unknown,1.33,1281,5,6,"Judge error: Expecting ',' delimiter: line 7 column 146 (char 274)"
56,B,"Which gasket kit does Hydroscand have for a 3/4"" Faster VV coupling?",0,0,0,0,hallucination,1.003,828,0,4,"The AI answer fails to provide the correct product code and instead suggests contacting customer support, which is not a direct answer to the question."
57,B,Are there smooth pipe clamps in the heavy series? ISO 3015-2?,0,0,0,0,hallucination,0.854,862,0,5,"The AI answer does not provide any specific information about the product, instead suggesting contacting the manufacturer for more information."
58,B,Are there pipe clamps with a bolt for 10mm pipes?,0,0,0,0,hallucination,0.244,137,0,0,"Answer claims no information is available, but ground truth confirms existence of pipe clamps with a bolt for 10mm pipes"
59,B,Which weld and cover plate should I choose for 5390-62-12?,0,0,0,0,hallucination,0.348,164,0,0,"Answer acknowledges lack of information, but incorrectly states the ground truth answer as correct"
60,B,Is there a corresponding 7013-04-09 with ED sealed G threaded connection?,0,0,0,0,hallucination,0.167,125,0,0,"Answer claims no product code exists, which is not supported by ground truth"
61,B,An 8mm tube with 7793-00-08 and 7792-00-06 what is the tightening torque?,0,0,0,0,hallucination,0.355,156,0,0,"Answer claims no information is available, but ground truth provides a guideline for tightening torque"
62,B,Which O-ring should I choose for an ORFS connection to 14mm pipe?,0,0,0,0,hallucination,1.092,1906,30,9,"The AI answer fails to provide any specific information on O-ring sizes for 14mm pipe, instead suggesting a generic search of product documentation or manufacturer support."
68,B,Where can I find assembly instructions for Hydroscand cutting ring couplings?,0,0,0,0,hallucination,0.563,747,0,4,"The AI answer claims it couldn't find assembly instructions, but the ground truth answer provides a detailed summary of the instructions."
69,B,"How tight should I tighten a G 1/2"" thread?",0,0,0,1,hallucination,0.344,159,0,0,"Incorrectly states 1-2 turns as a tightening specification, which is not supported by the ground truth."
75,B,Tightening torque on JIC coupling?,0,0,0,0,hallucination,1.554,1159,20,5,"The AI answer provides no specific tightening torque values for JIC couplings, instead offering general information on product families and categories, which is not directly relevant to the question."
6,C,Which sleeve should I get for hose X?,0,0,0,0,hallucination,0.258,142,0,0,Answer is incorrect because it fails to acknowledge the need for specific hose type and dimension information
9,C,Which coupling fits my existing hose with dimension Y?,0,0,0,0,hallucination,0.506,1027,19,1,"Answer is incorrect because it claims the data does not contain information about hose dimensions, which is not a factual claim but rather a limitation of the data."
12,C,What type of seal can withstand oil and high temperatures?,0,0,0,0,hallucination,0.285,155,0,0,"Answer claims no information exists, despite acknowledging the possibility of specific seal types being used for oil and high temperatures."
16,C,What is the recommended tightening torque for this coupling?,0,0,0,0,hallucination,0.269,153,0,0,Answer provides no specific information and makes a general statement that the ground truth answer requires more context to provide an accurate answer.
26,C,Which sleeve should I use to crimp a multi-head hose?,0,0,0,1,hallucination,0.23,138,0,0,The AI answer contains a factual claim (product 'multi-head' does not exist) not supported by the ground truth.
27,C,Which hoses are suitable for the 42 series?,0,0,0,0,hallucination,0.154,113,0,0,"Answer claims no matching records were found, which is not supported by the ground truth answer"
51,C,What classes of acid-resistant pipes for hydraulics are there?,0,0,0,0,hallucination,0.351,163,0,0,"Answer claims no information exists, despite the ground truth providing specific details about acid-resistant pipes for hydraulics."
65,C,What is the working pressure of a 4201-16-16?,0,0,0,0,hallucination,0.322,172,1,0,Answer is incorrect and contains a fabricated claim about the working pressure range
66,C,What is the working pressure for 4253-24-24?,0,0,0,0,hallucination,0.266,167,1,0,"Answer does not provide any information about the working pressure, instead stating it does not have the specific information"
67,C,What is the working pressure for 4743-20-20?,0,0,0,0,hallucination,0.29,145,0,0,"Answer acknowledges lack of information, but does not provide any actual working pressure value"
73,C,What is the difference between the 42 series and the 47 series?,0,0,0,0,hallucination,0.37,164,0,0,Claims about product codes and compatibility without any basis in the ground truth
8,D,What is the difference between product A and B?,0,0,0,0,hallucination,0.263,137,0,0,AI answer lacks context and fails to acknowledge the need for specific product information
10,D,What is a replacement product for discontinued item number Z?,0,0,0,0,hallucination,0.262,145,0,0,Answer does not acknowledge the need for a specific part number to provide a correct replacement product.
13,D,What components are needed to build a complete hydraulic system?,0,0,0,1,hallucination,0.445,188,0,0,"Answer claims no information was found, but the ground truth provides a detailed list of components needed for a hydraulic system."
14,D,Can I use this product in an ATEX environment?,0,0,0,0,hallucination,0.142,114,0,0,Answer is completely off-topic and does not reference any specific product or documentation
15,D,Is this product compatible with glycol/water mixture?,0,0,0,1,hallucination,0.797,361,0,1,"The AI answer contains an unsupported claim that the product is not compatible with glycol/water mixtures, despite acknowledging the need for specific product information."
18,D,What is the lifespan or maintenance intervals of product X?,0,0,0,0,hallucination,0.194,117,0,0,Answer is completely off-topic and does not reference any specific product or documentation
37,D,"How many millimeters is 1/8""?",0,0,0,0,hallucination,0.26,130,0,0,"Answer claims 1/8 inch is equal to 6 mm, which is not supported by the ground truth."
38,D,Thread that is 12.4 mm internally?,0,0,0,0,unknown,0.147,111,0,0,"Judge error: Expecting ',' delimiter: line 7 column 143 (char 271)"
39,D,Thread that is 35.7 mm outside?,0,0,0,0,hallucination,0.131,110,0,0,"Answer claims no matching records found, which is not supported by the ground truth answer"
52,D,Which bravo connection plate should I get for my pump with part number 25-211200-24?,0,0,0,0,hallucination,0.36,172,0,0,"The AI answer claims it cannot provide an answer, but the ground truth provides a specific product code and its correct usage."
53,D,What maximum working pressure is 427012062 rated for?,0,0,0,0,hallucination,0.257,146,0,0,"Answer provides no specific information, instead of saying 'I don't have the information' or 'Check the technical documentation'"
